Replay 1|false|1443
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,6.927013407320715e-10,-0.1983158439397812|-1.0470971645304417e-08,1,-4.825785993034515e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.0982821319061031e-09,-0.1983158439397812|-1.6601850560959974e-08,1,-7.651343025827373e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.706005781088038e-09,-0.1983158439397812|-2.5788347457478267e-08,1,-1.1885150996704397e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.165171871965526e-10,-0.1983158439397812|-1.2342666444453698e-08,1,-5.688401572001567e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.2415624911786836e-10,-0.1983158439397812|-3.3884526295935302e-09,1,-1.5616480553148904e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-6.634363058921622e-10,-0.1983158439397812|1.002852290099554e-08,1,4.6218708860124025e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2545313676781689e-09,-0.1983158439397812|1.8963618231282453e-08,1,8.73981349513997e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1408889388775378e-09,-0.1983158439397812|1.7245845640445623e-08,1,7.948140989810781e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-5.280476611524421e-10,-0.1983158439397812|7.982068339629222e-09,1,3.678718840660622e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1992426496298947e-10,-0.1983158439397812|1.8128146761497987e-09,1,8.354776426244825e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.8784946648485743e-10,-0.1983158439397812|-4.35116609409647e-09,1,-2.0053336768910413e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.988559896394577e-10,-0.1983158439397812|-1.3587260205838447e-08,1,-6.261999629941783e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.5090793059613361e-09,-0.1983158439397812|-2.281151978422713e-08,1,-1.0513210213503044e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.4145943305621245e-09,-0.1983158439397812|-2.1383241843864198e-08,1,-9.854954896582058e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,5.221960641677015e-10,-0.1983158439397812|-7.893565800998203e-09,1,-3.63792906910021e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.69061531335646e-10,-0.1983158439397812|5.578824513463587e-09,1,2.571129620321244e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.625971131299593e-10,-0.1983158439397812|1.455082365708904e-08,1,6.706081023821753e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.5556238519565113e-09,-0.1983158439397812|2.3515154268238803e-08,1,1.0837498365390275e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.399837574974867e-10,-0.1983158439397812|1.420903128490636e-08,1,6.548559383645625e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.25133947542966e-10,-0.1983158439397812|4.914836981839699e-09,1,2.265116805233447e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.432658044066343e-11,-0.1983158439397812|-1.2746728117463135e-09,1,-5.8746136843979e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,6.978597144602361e-10,-0.1983158439397812|-1.0549019435757145e-08,1,-4.8617582848464735e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.106445157716962e-09,-0.1983158439397812|-1.672531269036881e-08,1,-7.708246130277985e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.7186689849069126e-09,-0.1983158439397812|-2.5979860041047687e-08,1,-1.1973416746968724e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.225747305523612e-10,-0.1983158439397812|-1.2434229645919004e-08,1,-5.730600349806991e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.258137843380581e-10,-0.1983158439397812|-3.4134532977958543e-09,1,-1.5731682623254528e-08|Running
